state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.005505505483597517,-0.020013445988297462,-0.0002355530159547925,-0.019777892157435417
$\delta$,0.005605605430901051,-0.020010508596897125,-0.00023974955547600985,-0.01977076195180416
$\delta$,0.005705705843865871,-0.020007625222206116,-0.00024394577485509217,-0.019763680174946785
$\delta$,0.005805805791169405,-0.020004792138934135,-0.000248141644988209,-0.019756650552153587
$\delta$,0.0059059057384729385,-0.020002007484436035,-0.00025233710766769946,-0.01974967122077942
$\delta$,0.006006006151437759,-0.019999269396066666,-0.00025653227930888534,-0.01974273845553398
$\delta$,0.006106106098741293,-0.019996583461761475,-0.00026072710170410573,-0.019735857844352722
$\delta$,0.0062062060460448265,-0.01999395340681076,-0.00026492157485336065,-0.01972903124988079
$\delta$,0.006306306459009647,-0.01999136433005333,-0.00026911572786048055,-0.01972224749624729
$\delta$,0.006406406406313181,-0.019988829270005226,-0.0002733095607254654,-0.01971551962196827
$\delta$,0.0065065063536167145,-0.019986338913440704,-0.00027750301524065435,-0.019708840176463127
$\delta$,0.006606606766581535,-0.019983910024166107,-0.0002816961205098778,-0.019702214747667313
$\delta$,0.006706706713885069,-0.019981522113084793,-0.00028588887653313577,-0.01969563402235508
$\delta$,0.0068068066611886024,-0.019979188218712807,-0.00029008128331042826,-0.019689107313752174
$\delta$,0.006906907074153423,-0.019976899027824402,-0.0002942733990494162,-0.0196826234459877
$\delta$,0.007007007021456957,-0.019974660128355026,-0.0002984651655424386,-0.019676193594932556
$\delta$,0.00710710696876049,-0.01997247524559498,-0.0003026564954780042,-0.01966981776058674
$\delta$,0.007207207381725311,-0.019970333203673363,-0.00030684759258292615,-0.019663484767079353
$\delta$,0.007307307329028845,-0.019968243315815926,-0.0003110382822342217,-0.019657205790281296
$\delta$,0.007407407276332378,-0.019966203719377518,-0.0003152286517433822,-0.01965097337961197
$\delta$,0.007507507689297199,-0.01996421255171299,-0.00031941873021423817,-0.01964479126036167
$\delta$,0.007607607636600733,-0.01996227167546749,-0.0003236084012314677,-0.0196386631578207
$\delta$,0.007707707583904266,-0.019960375502705574,-0.0003277977230027318,-0.019632579758763313
$\delta$,0.007807807996869087,-0.019958531484007835,-0.00033198672463186085,-0.019626544788479805
$\delta$,0.007907907478511333,-0.019956735894083977,-0.0003361754061188549,-0.019620560109615326
$\delta$,0.008008007891476154,-0.0199549850076437,-0.00034036370925605297,-0.019614621996879578
$\delta$,0.008108108304440975,-0.01995328813791275,-0.00034455169225111604,-0.01960873417556286
$\delta$,0.008208207786083221,-0.019951634109020233,-0.00034873923868872225,-0.01960289664566517
$\delta$,0.008308308199048042,-0.019950034096837044,-0.00035292658139951527,-0.019597109407186508
$\delta$,0.008408408612012863,-0.019948480650782585,-0.0003571135166566819,-0.01959136500954628
$\delta$,0.00850850809365511,-0.01994697004556656,-0.00036130016087554395,-0.01958567090332508
$\delta$,0.00860860850661993,-0.01994551718235016,-0.0003654863976407796,-0.01958003267645836
$\delta$,0.008708708919584751,-0.01994410529732704,-0.00036967231426388025,-0.01957443356513977
$\delta$,0.008808808401226997,-0.019942743703722954,-0.00037385791074484587,-0.01956888847053051
$\delta$,0.008908908814191818,-0.019941430538892746,-0.00037804312887601554,-0.01956338807940483
$\delta$,0.009009009227156639,-0.019940165802836418,-0.00038222805596888065,-0.01955793797969818
$\delta$,0.009109108708798885,-0.01993894763290882,-0.0003864126047119498,-0.01955253630876541
$\delta$,0.009209209121763706,-0.019937777891755104,-0.00039059677510522306,-0.01954718306660652
$\delta$,0.009309309534728527,-0.019936656579375267,-0.00039478062535636127,-0.019541876390576363
$\delta$,0.009409409016370773,-0.01993558369576931,-0.0003989641845691949,-0.019536618143320084
$\delta$,0.009509509429335594,-0.019934557378292084,-0.0004031473654322326,-0.019531406462192535
$\delta$,0.009609609842300415,-0.01993357576429844,-0.00040733025525696576,-0.019526245072484016
$\delta$,0.009709709323942661,-0.019932642579078674,-0.0004115126212127507,-0.01952112838625908
$\delta$,0.009809809736907482,-0.01993175782263279,-0.00041569487075321376,-0.01951606199145317
$\delta$,0.009909910149872303,-0.019930921494960785,-0.00041987665463238955,-0.019511044025421143
$\delta$,0.01001000963151455,-0.01993013173341751,-0.00042405808926559985,-0.019506074488162994
$\delta$,0.01011011004447937,-0.01992938667535782,-0.00042823926196433604,-0.01950114592909813
$\delta$,0.010210210457444191,-0.019928693771362305,-0.00043242008541710675,-0.01949627324938774
$\delta$,0.010310309939086437,-0.019928038120269775,-0.00043660044320859015,-0.019491439685225487
$\delta$,0.010410410352051258,-0.019927436485886574,-0.0004407805681694299,-0.01948665641248226
$\delta$,0.010510510765016079,-0.019926881417632103,-0.0004449602565728128,-0.019481919705867767
$\delta$,0.010610610246658325,-0.019926372915506363,-0.0004491397412493825,-0.019477231428027153
$\delta$,0.010710710659623146,-0.019925907254219055,-0.0004533188766799867,-0.01947259157896042
$\delta$,0.010810811072587967,-0.019925493746995926,-0.0004574975755531341,-0.019467994570732117
$\delta$,0.010910910554230213,-0.01992512308061123,-0.00046167580876499414,-0.019463447853922844
$\delta$,0.011011010967195034,-0.01992480270564556,-0.0004658540419768542,-0.01945894956588745
$\delta$,0.011111111380159855,-0.019924525171518326,-0.0004700316349044442,-0.01945449411869049
$\delta$,0.011211210861802101,-0.019924290478229523,-0.0004742089950013906,-0.019450083374977112
$\delta$,0.011311311274766922,-0.01992410607635975,-0.000478385976748541,-0.019445719197392464
$\delta$,0.011411411687731743,-0.019923970103263855,-0.00048256266745738685,-0.019441409036517143
$\delta$,0.011511511169373989,-0.019923876971006393,-0.0004867390089202672,-0.019437139853835106
$\delta$,0.01161161158233881,-0.019923830404877663,-0.0004909150884486735,-0.01943291537463665
$\delta$,0.01171171199530363,-0.019923830404877663,-0.0004950907314196229,-0.019428741186857224
$\delta$,0.011811811476945877,-0.019923876971006393,-0.0004992659669369459,-0.01942460983991623
$\delta$,0.011911911889910698,-0.019923966377973557,-0.0005034409696236253,-0.019420528784394264
$\delta$,0.012012012302875519,-0.0199241042137146,-0.0005076156230643392,-0.019416488707065582
$\delta$,0.012112111784517765,-0.019924284890294075,-0.0005117898108437657,-0.01941249892115593
