state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.04224224388599396,0.012126108631491661,-0.0018771938048303127,0.014003301039338112
$\delta$,0.0424424409866333,0.012093151919543743,-0.0018861766438931227,0.01397932879626751
$\delta$,0.04264264181256294,0.012060110457241535,-0.0018951611127704382,0.013955272734165192
$\delta$,0.042842842638492584,0.012026981450617313,-0.0019041465129703283,0.013931125402450562
$\delta$,0.043043043464422226,0.01199376117438078,-0.001913132960908115,0.01390689518302679
$\delta$,0.04324324429035187,0.011960454285144806,-0.001922121038660407,0.013882574625313282
$\delta$,0.04344344511628151,0.01192705612629652,-0.001931109931319952,0.01385816652327776
$\delta$,0.04364364221692085,0.01189357414841652,-0.0019401003373786807,0.013833672739565372
$\delta$,0.043843843042850494,0.011860000900924206,-0.001949091674759984,0.013809094205498695
$\delta$,0.044044043868780136,0.011826345697045326,-0.0019580842927098274,0.013784430921077728
$\delta$,0.04424424469470978,0.011792597360908985,-0.0019670785404741764,0.013759677298367023
$\delta$,0.04444444552063942,0.011758767068386078,-0.0019760737195611,0.013734839856624603
$\delta$,0.04464464634656906,0.011724850162863731,-0.0019850698299705982,0.013709921389818192
$\delta$,0.044844843447208405,0.01169084943830967,-0.0019940673373639584,0.013684915378689766
$\delta$,0.045045044273138046,0.01165676023811102,-0.0020030660089105368,0.013659825548529625
$\delta$,0.04524524509906769,0.011622587218880653,-0.002012066077440977,0.013634654693305492
$\delta$,0.04544544592499733,0.011588330380618572,-0.002021067077293992,0.01360939722508192
$\delta$,0.04564564675092697,0.011553985998034477,-0.002030069474130869,0.013584055006504059
$\delta$,0.04584584757685661,0.01151956059038639,-0.0020390735007822514,0.01355863455682993
$\delta$,0.046046044677495956,0.011485054157674313,-0.002048077993094921,0.013533133082091808
$\delta$,0.0462462455034256,0.011450463905930519,-0.002057083882391453,0.013507548719644547
$\delta$,0.04644644632935524,0.011415787041187286,-0.0020660911686718464,0.013481875881552696
$\delta$,0.04664664715528488,0.011381027288734913,-0.0020750996191054583,0.013456127606332302
$\delta$,0.04684684798121452,0.011346190236508846,-0.0020841092336922884,0.013430297374725342
$\delta$,0.047047048807144165,0.011311265639960766,-0.002093120012432337,0.013404383324086666
$\delta$,0.04724724590778351,0.011276262812316418,-0.00210213172249496,0.013378394767642021
$\delta$,0.04744744673371315,0.011241183616220951,-0.0021111450623720884,0.013352327048778534
